Тема,Вопрос,Ответ с пояснением
Go Concurrency (обязательный прод-уровень),Что такое мьютекс и как он работает?,"Примитив для защиты критической секции. Только одна горутина может владеть локом, остальные ждут очереди, пока владелец не вызовет Unlock."
Go Concurrency (обязательный прод-уровень),В чем разница между sync.Mutex и sync.RWMutex?,"Mutex — эксклюзивный (один на всех). RWMutex — позволяет много читателей ОДНОВРЕМЕННО, но только одного писателя (блокируя при этом всех остальных)."
Go Concurrency (обязательный прод-уровень),Как работает sync.WaitGroup и зачем нужен метод Done()?,"Это счетчик горутин. Add увеличивает его, Done (синоним Add(-1)) уменьшает. Wait блокирует выполнение, пока счетчик не станет 0."
Go Concurrency (обязательный прод-уровень),Что такое sync.Map и когда она эффективнее обычной мапы?,"Потокобезопасная мапа. Оптимизирована для двух случаев: 1) ключ пишется один раз, а читается часто, 2) горутины работают с непересекающимися наборами ключей."
Go Concurrency (обязательный прод-уровень),Что такое атомарные операции (sync/atomic)?,"Низкоуровневые операции (Add, Load, Swap), выполняемые за один такт процессора без использования тяжелых мьютексов."
Go Concurrency (обязательный прод-уровень),Что такое Deadlock и как его избежать?,"Ситуация взаимной блокировки (А ждет Б, Б ждет А). Избегается строгим порядком захвата ресурсов и использованием тайм-аутов."
Go Concurrency (обязательный прод-уровень),Что такое Livelock?,"Ситуация, когда горутины постоянно меняют свое состояние в ответ на действия других, но не делают полезной работы."
Go Concurrency (обязательный прод-уровень),Что такое Data Race (гонка данных)?,Когда две горутины одновременно обращаются к одной переменной и хотя бы одна из них делает запись. Ведет к порче данных.
Go Concurrency (обязательный прод-уровень),Что такое errgroup и какие у него преимущества?,"Пакет расширения sync. Позволяет запустить группу горутин и вернуть первую встреченную ошибку, автоматически отменив остальные горутины через контекст."
Go Core (язык и стандартная библиотека),В чем разница между массивом и слайсом?,"Массив — фиксированного размера, его длина — часть типа. Слайс — динамический заголовок, который ссылается на нижележащий массив и может менять размер."
Go Core (язык и стандартная библиотека),Как работает функция append под капотом?,"Если len < cap, она пишет в текущий массив. Если места нет, она выделяет новый массив большего размера, копирует данные и возвращает новый заголовок слайса."
Go Core (язык и стандартная библиотека),Подводные камни append (изменение массива)?,"Если несколько слайсов ссылаются на один массив, изменение элементов через один слайс отразится на других, пока append не вызовет переаллокацию памяти."
Go Core (язык и стандартная библиотека),Как проверить слайс на пустоту (nil vs empty)?,"И nil, и пустой слайс имеют len = 0. Рекомендуется проверять через len(s) == 0. Отличие: у nil указатель на данные равен 0, у пустого — нет."
Go Core (язык и стандартная библиотека),Можно ли добавлять элементы в nil-слайс?,"Да, append(nil, 1) легален: он создаст новый массив и вернет инициализированный слайс."
Go Core (язык и стандартная библиотека),Как отсортировать слайс структур по полю?,"Через sort.Slice или (в Go 1.21+) slices.SortFunc, передав функцию сравнения (например, a.Price < b.Price)."
Go Core (язык и стандартная библиотека),Разница в передаче в функцию слайса и массива?,"Массив копируется целиком (значение). Слайс передает только 24 байта заголовка, поэтому изменения данных внутри функции будут видны снаружи."
Go Core (язык и стандартная библиотека),Почему нельзя брать адрес значения из map?,"Потому что мапа — живая структура. При расширении (Growing) данные переезжают в новые адреса памяти, и старый указатель стал бы невалидным."
Go Core (язык и стандартная библиотека),Почему порядок итерации по map рандомизирован?,"Чтобы разработчики не закладывались на порядок элементов, который может измениться при добавлении новых ключей или эвакуации."
Go Core (язык и стандартная библиотека),Что будет при конкурентной записи в map?,Рантайм вызовет фатальную ошибку (fatal error: concurrent map writes) и уронит программу. Перехватить это через recover нельзя.
Go Core (язык и стандартная библиотека),Какие типы могут быть ключами в map?,"Любые типы, поддерживающие сравнение (==): числа, строки, указатели, каналы, структуры (если все поля структуры сравнимы)."
Go Core (язык и стандартная библиотека),"Что будет, если прочитать несуществующий ключ?","Вернется zero-value типа значения (например, 0 или """"). Чтобы проверить наличие, используют val, ok := m[key]."
Go Core (язык и стандартная библиотека),Что такое интерфейс в Go?,"Это набор методов, определяющий поведение. Тип реализует интерфейс неявно, просто имея эти методы (duck typing)."
Go Core (язык и стандартная библиотека),Почему интерфейс с nil-значением не равен nil?,"Потому что интерфейс считается nil, только если и его тип, и его значение равны nil. Если в нем лежит (*int)(nil), тип уже задан."
Go Core (язык и стандартная библиотека),Считается ли нормальным возвращать интерфейс?,"Нет, общее правило Go: «Принимай интерфейсы, возвращай конкретные типы». Это делает код более гибким."
Go Core (язык и стандартная библиотека),Что такое Type Switching?,"Конструкция switch v := i.(type), которая позволяет проверить, какой конкретный тип лежит внутри интерфейса."
Go Core (язык и стандартная библиотека),Что такое типизированный nil?,"Ситуация, когда в интерфейсе хранится конкретный тип (например, указатель на структуру), значение которого nil. Такой интерфейс не равен nil."
Go Core (язык и стандартная библиотека),В каком порядке выполняются несколько defer?,"В порядке LIFO (Last In, First Out) — последний объявленный defer выполнится первым."
Go Core (язык и стандартная библиотека),Почему опасно использовать defer в цикле?,"Сработает только в самом конце функции. В длинном цикле это приведет к накоплению ресурсов (файлов, локов) и утечке."
Go Core (язык и стандартная библиотека),Для чего нужен пакет context и как его передавать?,"Для управления жизненным циклом запроса, отмены операций и передачи метаданных. Передается всегда первым аргументом функции."
Go Core (язык и стандартная библиотека),Что такое дженерики и когда они нужны?,"Параметрический полиморфизм. Нужны, когда логика алгоритма одинакова для разных типов данных (например, поиск в слайсе)."
Go Core (язык и стандартная библиотека),Как работают errors.Is и errors.As?,errors.Is проверяет наличие ошибки в цепочке. errors.As пытается привести ошибку из цепочки к конкретному типу.
Go Runtime & Performance (чтобы быть “опытным”),Почему горутины считаются легковесными с точки зрения памяти?,"Благодаря динамическому стеку. Они начинают с 2 КБ и растут/сужаются по мере необходимости, в то время как потоки ОС сразу резервируют большой объем."
Go Runtime & Performance (чтобы быть “опытным”),"Почему переключение контекста горутин быстрее, чем у потоков ОС?","При переключении потока ОС нужно переходить в режим ядра и сохранять много регистров. У горутин сохраняются только 3 регистра (PC, SP, BP) полностью в user-space."
Go Runtime & Performance (чтобы быть “опытным”),Кто управляет выполнением горутин (Runtime или ОС)?,"Управляет Runtime Go (встроенный планировщик). ОС «видит» только потоки (M), на которых рантайм запускает горутины (G)."
Go Runtime & Performance (чтобы быть “опытным”),В какой физический ресурс (CPU/RAM) упрется система при спаме горутин?,"Сначала в RAM (из-за стеков), затем в CPU (из-за накладных расходов планировщика на переключение между ними)."
Go Runtime & Performance (чтобы быть “опытным”),Какое значение GOMAXPROCS устанавливается по умолчанию?,"Равно количеству доступных логических ядер процессора. Это определяет число потоков, одновременно выполняющих Go-код."
Go Runtime & Performance (чтобы быть “опытным”),Как устроена структура канала (hchan) под капотом?,"Это структура с Mutex для защиты, кольцевым буфером (массив), и двумя очередями ожидающих горутин (sudog) — на чтение и на запись."
Go Runtime & Performance (чтобы быть “опытным”),Какой тип данных у флага closed в канале?,Это uint32 (используется как логический флаг 0 или 1 для атомарных операций проверки внутри рантайма).
Go Runtime & Performance (чтобы быть “опытным”),Чем мьютекс отличается от спинлока (Spinlock)?,"Спинлок ждет в цикле, нагружая CPU. Мьютекс в Go сначала «спинлочит» пару циклов, а потом усыпляет горутину, передавая CPU другим задачам."
Go Runtime & Performance (чтобы быть “опытным”),Что такое sync.Pool и для чего он используется?,"Набор временных объектов, которые можно переиспользовать. Снижает нагрузку на сборщик мусора (GC), не создавая новые объекты слишком часто."
Go Runtime & Performance (чтобы быть “опытным”),Чем занимается планировщик Go?,"Он распределяет горутины (G) по системным потокам (M), стараясь максимально загрузить процессор и минимизировать простои."
Go Runtime & Performance (чтобы быть “опытным”),"Что означают буквы G, M, P в контексте планировщика?","G — Goroutine, M — Machine (поток ОС), P — Processor (логический контекст/ресурс, дающий право выполнять код)."
Go Runtime & Performance (чтобы быть “опытным”),Зачем нужны локальные очереди (P) и глобальная очередь?,"Локальные очереди (у каждого P) уменьшают конкуренцию за локи. Глобальная очередь нужна для горутин, пришедших извне или вытесненных."
Go Runtime & Performance (чтобы быть “опытным”),Что такое Work Stealing (кража задач)?,"Механизм, при котором свободный процессор (P) «крадет» половину очереди у другого (занятого) процессора, чтобы не простаивать."
Go Runtime & Performance (чтобы быть “опытным”),Что такое Work Sharing?,"Стратегия, при которой новые задачи активно распределяются между всеми процессорами (в Go используется реже, чем Stealing)."
Go Runtime & Performance (чтобы быть “опытным”),Разница между кооперативной и вытесняющей многозадачностью?,До 1.14 была кооперативная (горутина должна была сама уступить место). Теперь вытесняющая: рантайм может прервать горутину на любой функции.
Go Runtime & Performance (чтобы быть “опытным”),Какие события в коде заставляют планировщик переключить контекст?,"Ключевое слово go, операции с каналами, системные вызовы, вызов функций, использование мьютексов, вызов GC."
Go Runtime & Performance (чтобы быть “опытным”),"Что происходит с процессором (P), если поток (M) заблокирован системным вызовом?","Планировщик отсоединяет P от этого M и находит/создает новый поток M, чтобы P мог продолжать выполнять другие горутины."
Go Runtime & Performance (чтобы быть “опытным”),"Что делает планировщик, если его локальная очередь пуста?","1) Пытается украсть из других P, 2) Если там пусто — идет в глобальную очередь, 3) Если и там пусто — проверяет сетевой поллер (netpoller)."
Go Runtime & Performance (чтобы быть “опытным”),Из каких полей состоит SliceHeader?,"Указатель на массив (Data), текущая длина (Len) и максимальная емкость (Cap)."
Go Runtime & Performance (чтобы быть “опытным”),Как изменяется cap при росте слайса (алгоритм)?,"До 256 элементов емкость удваивается. После этого рост замедляется (умножается примерно на 1.25), чтобы избежать слишком больших скачков потребления памяти."
Go Runtime & Performance (чтобы быть “опытным”),"Как устроена map внутри (hmap, bmap)?","Это хеш-таблица: массив бакетов. Каждый бакет хранит до 8 пар ключ-значение. Если бакет переполнен, создается дополнительный бакет через указатель overflow."
Go Runtime & Performance (чтобы быть “опытным”),Что такое эвакуация данных в мапе?,Процесс переноса данных из старых маленьких бакетов в новые (в 2 раза больше) при расширении. Это происходит постепенно при операциях записи/удаления.
Go Runtime & Performance (чтобы быть “опытным”),Где аллоцируется переменная: стек или куча?,"Зависит от того, «убегает» ли переменная за пределы функции. Если она доступна только внутри — стек. Если возвращается или велика — куча."
Go Runtime & Performance (чтобы быть “опытным”),Что такое Escape Analysis?,"Работа компилятора по определению: где хранить переменную. Стек дешевле, поэтому компилятор старается оставить всё там, где это возможно."
Go Runtime & Performance (чтобы быть “опытным”),Как работает Garbage Collector (Mark & Sweep)?,"Он помечает живые объекты, начиная с корневых ссылок (Mark), а затем удаляет непомеченные (Sweep). В Go он работает конкурентно с программой."
Go Runtime & Performance (чтобы быть “опытным”),Что такое трехцветный алгоритм пометки в GC?,"Белые (кандидаты на удаление), Серые (живые, связи не проверены), Черные (живые, всё проверено)."
Go Runtime & Performance (чтобы быть “опытным”),На что влияет переменная GOGC?,"Она задает процент роста кучи, при котором запускается сборка мусора (по умолчанию 100 — GC запустится, когда куча вырастет вдвое)."
Go Runtime & Performance (чтобы быть “опытным”),Что такое Alignment и Padding в структурах?,"Процессор читает память блоками. Go вставляет пустые байты (padding) между полями структур, чтобы они начинались с «правильных» адресов."
Go Runtime & Performance (чтобы быть “опытным”),Зависит ли размер указателя от типа данных?,"Нет, на 64-битной системе любой указатель занимает 8 байт, независимо от того, указывает он на int8 или на огромную структуру."
Go Runtime & Performance (чтобы быть “опытным”),Как устроены структуры iface и eface?,eface — для пустого интерфейса interface{} (тип + данные). iface — для интерфейсов с методами (тип + таблица методов + данные).
Go Tooling & Codebase Engineering (уровень “инженер”),"Можно ли копировать структуру, в которой есть мьютекс?","Нет. При копировании копируется и состояние мьютекса (заблокирован он или нет), что приведет к непредсказуемым блокировкам и дедлокам."
Go Tooling & Codebase Engineering (уровень “инженер”),Как измерить использование памяти (pprof)?,"Через пакет net/http/pprof или runtime/pprof. Он строит профиль кучи (heap), показывая аллокации."
Go Tooling & Codebase Engineering (уровень “инженер”),Чем отличается папка internal от pkg?,"Пакеты в internal могут быть импортированы только тем кодом, который находится в том же родительском каталоге. pkg — публичные пакеты."
Go Tooling & Codebase Engineering (уровень “инженер”),Зачем нужен go mod tidy?,"Он очищает файл go.mod: добавляет недостающие зависимости и удаляет те, которые больше не используются."
Go Tooling & Codebase Engineering (уровень “инженер”),Как ты следишь за новыми технологиями?,"Telegram-каналы, доклады HighLoad++, изучение релизов Go, пет-проекты."
HR вопросы,Расскажи о самом сложном техническом проекте?,"Используй метод STAR: Ситуация, Задача, Действия, измеримый Результат."
HR вопросы,Твой самый большой профессиональный факап?,"Расскажи о реальной ошибке, ответственности, исправлении и выводах (тесты, алерты)."
HR вопросы,Чем ты гордишься на текущей работе?,"Фокусируйся на пользе: внедрил стандарт, ускорил CI/CD, разработал фичу."
HR вопросы,Почему ты решил сменить работу?,"Позитивно: поиск новых вызовов, Highload, домен. Избегай критики прошлого руководства."
HR вопросы,Чем занимался на последнем месте работы?,"Стек и основные задачи: «Разрабатывал микросервисы на Go, проектировал БД, оптимизировал SQL»."
HR вопросы,Как ты оцениваешь сроки выполнения задачи?,"Декомпозиция: разбиваю на этапы, закладываю 20-30% времени на риски и тесты."
HR вопросы,"Что делать, если не успеваешь к дедлайну?",Заранее сообщить менеджеру. Предложить варианты: перенос срока или сокращение объема (MVP).
HR вопросы,Твои сильные и слабые стороны?,"Сильные: ответственность, код-ревью. Слабые: «иногда увлекаюсь рефакторингом» (слабость как обратная сторона силы)."
HR вопросы,"Как объяснишь бабушке, чем занимаешься?","«Строю невидимые дороги и почту в телефоне, чтобы всё доходило быстро и надежно»."
HR вопросы,"Что будешь делать, если оффер ниже ожиданий?",Обсудить с HR возможность пересмотра после испытательного срока или бонусы/обучение.
HR вопросы,Кем видишь себя через 3-5 лет?,"Senior-разработчиком или архитектором, экспертом в Highload на Go."
HR вопросы,Почему мы должны нанять именно тебя?,"Твердый опыт Go/Python, ответственность к дедлайнам, понимание масштабируемости."
HTTP/API слой (REST + gRPC),Что такое gRPC и protobuf?,"gRPC — протокол вызова процедур через HTTP/2. Protobuf — формат сериализации данных в бинарный вид, быстрый и компактный."
HTTP/API слой (REST + gRPC),Как изменить контракт в proto файле без поломки?,"Не менять номера полей (тэги), не удалять поля (лучше reserved), использовать новые номера для новых полей."
HTTP/API слой (REST + gRPC),Разница между TCP и UDP?,"TCP — с установкой соединения, гарантирует доставку и порядок. UDP — без соединения, быстро, но без гарантий."
HTTP/API слой (REST + gRPC),Как работает HTTP-запрос (структура)?,"Стартовая строка (метод, путь), Заголовки (метаданные), Тело запроса (данные)."
HTTP/API слой (REST + gRPC),"Разница между HTTP/1.1, HTTP/2 и HTTP/3?","1.1 — текст, один запрос на соединение. 2.0 — бинарный, мультиплексирование. 3.0 — на базе QUIC (UDP), быстрее."
HTTP/API слой (REST + gRPC),Что такое идемпотентность в HTTP?,"Свойство метода возвращать один результат при многократных запросах. GET, PUT, DELETE — идемпотентны. POST — нет."
HTTP/API слой (REST + gRPC),Разница между REST и gRPC?,"REST — JSON/HTTP1.1, универсален. gRPC — Protobuf/HTTP2, быстрее, стримы, идеален для микросервисов."
HTTP/API слой (REST + gRPC),Коды ответов: разница между 301 и 302?,301 — навсегда переехал (кешируется). 302 — временный редирект.
HTTP/API слой (REST + gRPC),Назови уровни модели OSI?,"Физический, Канальный, Сетевой, Транспортный, Сеансовый, Представительский, Прикладной."
Integrations,Как интегрировать сторонний API?,"Создание клиента, обработка ошибок, таймаутов, ретраев и логирование запросов."
Kafka,Механизм балансировки нагрузки в Kafka?,Распределение партиций между консюмерами внутри Consumer Group.
Kafka,Транзакции в Kafka?,Атомарная запись в несколько партиций (всё или ничего).
Kafka,Назначение Controller в Kafka?,"Брокер, управляющий лидерами партиций и метаданными кластера."
Kafka,Идемпотентный продюсер?,Гарантирует запись сообщения ровно один раз даже при сетевых сбоях (Sequence Number).
Kafka,ISR (In-Sync Replicas)?,"Список реплик, которые полностью синхронизированы с лидером и могут стать лидерами."
Kafka,Kafka без ZooKeeper?,"Режим KRaft, где Kafka сама управляет метаданными через протокол консенсуса."
Kafka,Kafka vs RabbitMQ?,"Kafka — это лог (данные можно перечитать), Rabbit — очередь (сообщения удаляются)."
Kafka,Гарантии доставки?,"At-most-once, At-least-once, Exactly-once."
Messaging / Brokers (Kafka/Rabbit/NATS) + паттерны,Зачем нужен Kafka/RabbitMQ?,"Для асинхронного взаимодействия сервисов, сглаживания пиковых нагрузок и гарантированной доставки сообщений."
