№,Тема,Вопрос,Ответ,Компании,Встречается
243,Архитектура ПО,Что такое circuit breaker?,"Circuit Breaker (переключатель цепи) — это паттерн, используемый для повышения устойчивости распределённых систем и предотвращения цепных отказов. Он помогает контролировать и изолировать неисправные компоненты или сервисы, чтобы сбой в одном из них не привёл к сбоям в других частях системы. Работает аналогично “Выбитым пробкам” дома.

Как работает Circuit Breaker:
Circuit Breaker можно представить как переключатель с тремя основными состояниями:
* Closed (Замкнут): В нормальном состоянии Circuit Breaker пропускает запросы. Если возникают ошибки (например, сервис не отвечает), он начинает фиксировать их количество.
* Open (Открыт): Если количество ошибок превышает определённый порог за заданный период, Circuit Breaker ""размыкается"", блокируя дальнейшие запросы к этому сервису на некоторое время. В это время запросы сразу отклоняются или перенаправляются на резервный ресурс, не достигая неисправного сервиса.
* Half-Open (Полуоткрыт): После тайм-аута Circuit Breaker переходит в режим ""полуоткрытого"" состояния и отправляет несколько тестовых запросов к сервису. Если тестовые запросы успешны, он возвращается в ""замкнутое"" состояние, и сервис считается восстановленным. Если тестовые запросы продолжают завершаться с ошибками, Circuit Breaker снова переходит в ""открытое"" состояние.

Применение:
Circuit Breaker защищает систему от чрезмерной нагрузки на неисправные или медленно работающие сервисы.
Помогает избежать истощения ресурсов и деградации системы, повышая её отказоустойчивость.
Используется в микросервисных архитектурах, когда один сервис зависит от других, чтобы предотвратить лавинообразный сбой.

Пример:
Представьте, что у вас есть сервис, обращающийся к базе данных, которая внезапно начинает тормозить. Если запросы продолжают посылаться, это может привести к истощению ресурсов и сбою других сервисов. Circuit Breaker размыкает цепь, предотвращая запросы к базе данных, пока она не восстановится, и защищает остальную систему от сбоев. Также Circuit Breaker может использоваться для прекращения обращения к внешним системам.
",,Редко
244,Архитектура ПО,Что такое DDD?,"DDD (Domain-Driven Design) — это подход к разработке программного обеспечения, который фокусируется на модели предметной области (domain), то есть на бизнес-логике и правилах, которые она описывает. Основная идея DDD состоит в том, чтобы создать чёткую и согласованную модель предметной области, которая отражает реальные потребности бизнеса и облегчает понимание системы для всех участников: разработчиков, аналитиков и представителей бизнеса.

Основные концепции DDD:
* Domain (Предметная область): Основная сфера деятельности бизнеса, то, что разрабатывается и совершенствуется. Это может быть, например, банковская система или система бронирования авиабилетов.
* Ubiquitous Language (Общий язык): В DDD особое внимание уделяется созданию общего языка, которым пользуются и технические, и бизнес-специалисты. Этот язык помогает всем участникам проекта лучше понимать предметную область и избегать недопониманий.
* Bounded Context (Ограниченный контекст): Комплексный бизнес обычно состоит из множества частей (контекстов), которые могут иметь собственные правила и термины. Bounded Context обозначает границы, в которых конкретные термины и правила применяются. Разделение на контексты помогает разрабатывать разные части системы независимо друг от друга.(например, в интернет магазине есть контексты каталога продуктов, платежей, учёта товаров на складе, базы сотрудников)
* Entities и Value Objects: Entities — это объекты с уникальными идентификаторами, которые изменяются со временем (например, заказ клиента). Value Objects — это объекты без уникальных идентификаторов, которые определяются только своими атрибутами (например, адрес или валюта).
* Aggregates (Агрегаты): Агрегаты — шаблон для работы с группой связанных объектов сущностей из конкретной предметной области, которые считаются одной единицей для обработки данных и бизнес-логики. Например, при оформлении заказа агрегатор генерирует объекты сущностей оплата заказа, доставка заказа, позиция заказа.
* Repositories и Services: Repositories обеспечивают доступ к данным агрегатов, а Services содержат логику, которая не относится к конкретным сущностям, но важна для предметной области.

Зачем использовать DDD:
* DDD помогает проектировать сложные системы с учётом бизнес-требований, обеспечивая ясность и структурированность.
* Оно способствует разделению ответственности в коде и позволяет создавать систему, которая легко адаптируется к изменениям в бизнес-логике.
* Использование DDD улучшает взаимодействие между разработчиками и бизнес-экспертами, поскольку общая модель предметной области и язык упрощают коммуникацию.
",,Иногда
245,Архитектура ПО,Что такое MVC?,"MVC (Model-View-Controller)

Компоненты:
* Model (Модель): Управляет данными и бизнес-логикой приложения.
* View (Представление): Отвечает за отображение данных пользователю.
* Controller (Контроллер): Обрабатывает ввод пользователя, взаимодействует с моделью и определяет, какое представление отобразить.

Особенности:
* View и Model не взаимодействуют напрямую.
* Controller служит посредником между View и Model.
* Часто используется в веб-разработке (например, Django, Ruby on Rails).

Схема взаимодействия:
[User] → [Controller] → [Model]
                      ↘
                       [View]

Пример потока данных:
1. Пользователь отправляет запрос.
2. Controller обрабатывает запрос, взаимодействует с Model для получения данных.
3. Controller передает данные в View.
4. View отображает данные пользователю.",,Иногда
246,Архитектура ПО,Расскажи про Serverless-архитектуру?,"Serverless-архитектура — это облачная модель, при которой разработчики запускают свои приложения или функции, не управляя серверами напрямую. В serverless-подходе облачный провайдер автоматически управляет инфраструктурой, масштабированием и распределением ресурсов, позволяя разработчикам сосредоточиться на бизнес-логике, а не на серверной инфраструктуре.

Основные принципы Serverless-архитектуры:
* Функции как сервис (FaaS, Function as a Service):
 - Код приложения разбивается на отдельные функции, которые выполняют конкретные задачи. Эти функции запускаются только тогда, когда это необходимо (например, в ответ на событие), и работают короткое время, чтобы выполнить определённую операцию.
 - Пример: AWS Lambda, Google Cloud Functions, Azure Functions.
* Событийно-ориентированная модель:
 - Serverless-архитектура построена вокруг событий. Функции вызываются в ответ на различные триггеры, такие как HTTP-запросы, изменения в базе данных, загрузка файлов и т.д.
 - Это позволяет создать системы, которые работают асинхронно и реагируют на определённые действия или изменения состояния.
* Автоматическое масштабирование:
 - Облачный провайдер автоматически масштабирует функции в зависимости от нагрузки. Если возникает всплеск запросов, провайдер динамически запускает больше экземпляров функции; если запросов мало, количество экземпляров уменьшается до минимума.
* Оплата за фактическое использование:
 - В отличие от традиционных серверных подходов, где вы платите за серверы независимо от их загрузки, в serverless платите только за фактическое время выполнения функций и количество запросов. Это делает serverless особенно экономичным для приложений с переменной или непредсказуемой нагрузкой.

Преимущества Serverless-архитектуры:
* Снижение операционной нагрузки: не нужно беспокоиться об инфраструктуре.
* Быстрое развертывание и разработка: функции можно разрабатывать, развертывать и обновлять по отдельности и на разных языках, что упрощает разработку и внедрение изменений. Но стек технологий ограничен провайдером.
* Экономия средств: оплата за фактическое использование позволяет минимизировать расходы при нерегулярной нагрузке.
* Масштабируемость и устойчивость: автоматическое масштабирование и управление ресурсами позволяют выдерживать переменную нагрузку и обеспечивают отказоустойчивость.

Ограничения Serverless-архитектуры:
* Холодный старт: при первом запуске функции после простоя может наблюдаться задержка (холодный старт), что может не подойти для приложений с жёсткими требованиями к задержке.
* Ограничение по времени выполнения: многие FaaS-платформы накладывают лимиты на максимальное время выполнения функций, что может быть ограничением для длительных операций.
* Ограниченные возможности отладки и мониторинга: сложнее отлаживать распределённые функции и управлять логами.
* Сравнение с монолитом и микросервисами:
* Сложность разработки и управления близка к микросервисам, что сложнее, чем монолит.

Таким образом, Serverless можно использовать там, где приходится не слишком часто, но интенсивно обрабатывать большое количество запросов. В этом случае запускать несколько функций на 15 минут выгоднее, чем все время держать виртуальную машину или сервер.
",,Редко
247,Архитектура ПО,Что такое lambda-функция?,"Lambda-функция — это кусок кода, который выполняется без необходимости управлять серверной инфраструктурой. Он запускается в ответ на события (например, HTTP-запросы, изменения в базе данных, загрузка файлов) и выполняет конкретную задачу, после чего автоматически завершается.",,Редко
248,Архитектура ПО,Что такое lambda-computing?,"Lambda-computing — это концепция вычислений, основанная на модели serverless, при которой код выполняется в ответ на события, а инфраструктура автоматически управляется и масштабируется облачным провайдером. Lambda-computing позволяет запускать функции (небольшие фрагменты кода) без необходимости вручную настраивать или поддерживать серверы, что даёт разработчикам гибкость и экономичность.",,Редко
249,Архитектура ПО,Какие паттерны отказоустойчивости ты знаешь?,"* Retry - повтор запросов с определённым интервалом и определённое кол-во раз
* Идемпотентность -  добавление специального ключа, благодаря которому при ретраях не дублируются действия
* Deadline propagation - Идея паттерна в том, что клиент в запросе к серверу передаёт значение тайм-аута. Сервер в процессе обработки запроса регулярно проверяет: не истёк ли тайм-аут на клиенте. Если истёк, то можно завершать обработку запроса ошибкой.
* Burst limit - ограничение по кол-ву одновременно выполняемых запросов по фикс. кол-ву - не очень, потому что обрезается всё чуть больше заданного rps, хотя сервер мог бы обработать заданный rps + epsilon. Например, не более 100 запросов в секунду.
* Rate limit - Burst limit по стратегии - допускается превышение rps на небольшое число от заданного при условии последующего снижения их кол-ва. Например, не более 1000 запросов в 10 секунд. Хорошо сочетается с Burst limit по фикс. кол-ву, когда rps значительно превышает заданный. Например Rate limit на 1000 запросов в 10 секунд, но Burst limit на 200 запросов в секунду.
* Сircuit breaker
* Dummy - подушка безопасности. Упрощённая копия сервиса, без сложной логики и с минимумом зависимостей. 
",,Часто
251,Архитектура ПО,Расскажи про идемпотентность? Что такое ключи идемпотентности? Что такое хранилище ключей идемпотентности?,"Идемпотентность — это свойство операции, при котором её повторное выполнение с теми же входными данными не меняет результат. Она особенно важна в системах с сетевой задержкой, где одно и то же действие (например, запрос на создание или обновление ресурса) может быть выполнено несколько раз.

Ключи идемпотентности — это уникальные идентификаторы, которые используются для отслеживания выполнения операций. Например, при выполнении транзакции мы можем назначить ей уникальный идентификатор (ключ идемпотентности), и если запрос с этим идентификатором уже обрабатывался, то система не будет повторно выполнять операцию, чтобы избежать дублирования.

Хранилище ключей идемпотентности — БД, которая сохраняет информацию о ключах идемпотентности и их статусах. Обычно оно реализуется в базе данных, которая позволяет быстро проверять, была ли операция с данным ключом уже выполнена, и возвращать результат или игнорировать запрос, если он является повторным.(Redis)
",,Средне
283,Архитектура ПО,Как микросервисы могут между собой общаться?,"HTTP/REST, gRPC, SOAP, GraphQL, брокеры, БД и кэш, сокеты",VK,Часто
284,Архитектура ПО,"Как понять, когда лучше выстраивать коммуникацию через брокер сообщений, а когда через REST?","REST:
* Синхронное взаимодействие
* Слабонагруженные системы
* Когда клиент ждет немедленный ответ от сервера
* Когда операция достаточно быстро выполняется (до 10 с)
* Когда операция должна быть завершена до продолжения работы пользователя или системы
* Взаимодействие тесно связано с пользовательским интерфейсом (веб-приложения)
* Высокая зависимость от доступности вызываемого сервиса. Если сервис недоступен, запрос может завершиться неудачей.
* CRUD операции
* утентификация и авторизация (легче внедрить через HTTP, но можно и через брокер)

Брокер:
* Асинхронное взаимодействие
* Высоконагруженные системы
* Когда клиент отправляет сообщение в очередь и не ждет мгновенного ответа
* Когда операция требует много времени для выполнения (от 10 с)
* Обработка событий (Event-Driven Architecture)
* Осуществление сложной бизнес-логики, в которой задействовано несколько компонентов информационной системы. В основном это касается микросервисов. Часто нужно выполнять изменения, которые должны происходить в нужной последовательности. Брокер поможет этому процессу. Получив сообщения в первом сервисе, выполняются необходимые изменения, и закидывается следующая задача для второго сервиса.

Лучше всего комбинировать оба метода.
",VK,Часто
285,Архитектура ПО,Через GET запрос можно передавать данные на сервер? Какая проблема будет?,"Данные передавать можно, но т.к. у GET запроса нет тела, данные будут передаваться в URL, что может быть небезопасно и неконфиденциально. Также в URL проблематично передавать более сложные объекты, чем ключ-значение. ","VK, Синимекс",Средне
